,created_at,Methane,Ethanol,Humidity,Temperature,Date,Time,Hour,Mins,Secs,Year,Month,Day,E1,M1,E2,M2,E3,M3,M4,E4,M5,E5,Quality
987,2022-07-05T02:36:40+05:30,209.0,165.0,95.0,31.2,2022-07-05,02:36:40,2,36,40,2022,7,5,162.8,204.8,162.7794294532828,204.77607170144776,1.7708754896942938,2.3117093242879805,0.011542365661023474,0.01015698408072966,0.9197256600464722,0.8657138867591628,8.927197734028175
988,2022-07-05T02:36:57+05:30,205.0,161.0,95.0,31.1,2022-07-05,02:36:57,2,36,57,2022,7,5,162.0,204.8,161.98536552315997,204.7760717014478,1.7888543819998328,2.199999999999999,0.011542365661023474,0.010182063053768498,0.919725660046472,0.8677590206823874,8.937423403644297
989,2022-07-05T02:37:14+05:30,203.0,161.0,95.0,31.3,2022-07-05,02:37:14,2,37,14,2022,7,5,162.4,204.8,162.3813818962497,204.7760717014478,1.4642404174178463,2.0957099035887548,0.01148600645369426,0.01013190510769082,0.9197820192538013,0.8667753911309459,8.932787051923736
990,2022-07-05T02:37:31+05:30,204.0,161.0,95.0,31.0,2022-07-05,02:37:31,2,37,31,2022,7,5,161.6,203.8,161.59118727050185,203.79725564379063,1.4642404174178463,0.9338094023943031,0.011497278295160101,0.010182063053768498,0.9228919083865581,0.868790421010515,8.958411646985365
991,2022-07-05T02:37:48+05:30,203.0,164.0,95.0,31.2,2022-07-05,02:37:48,2,37,48,2022,7,5,162.4,204.0,162.3813818962497,203.9941462294831,1.493987951758642,1.1730302638892156,0.011508550136625944,0.010232220999846175,0.9222546261575647,0.8666750752387905,8.944648506981776
992,2022-07-05T02:38:05+05:30,204.0,161.0,95.0,31.3,2022-07-05,02:38:05,2,38,5,2022,7,5,163.2,204.2,163.17934273707235,204.19531811001008,1.3682105101189583,0.8944271909999121,0.011519821978091788,0.010269839459404434,0.9216105910976021,0.8645621829599822,8.930863870287922
993,2022-07-05T02:38:22+05:30,206.0,165.0,95.0,31.1,2022-07-05,02:38:22,2,38,22,2022,7,5,163.8,204.4,163.78667348381177,204.39491870994334,1.6124515496597043,0.9077444574328146,0.011531093819557631,0.010370155351559789,0.9209690343981973,0.8628939050590743,8.919314697286358
994,2022-07-05T02:38:40+05:30,204.0,165.0,95.0,31.1,2022-07-05,02:38:40,2,38,40,2022,7,5,165.4,204.6,165.3225573018668,204.5968822137992,3.366897681843037,0.7949842765740679,0.011531093819557631,0.010407773811118046,0.9203350225624626,0.8587837102124316,8.89559366387447
995,2022-07-05T02:38:57+05:30,205.0,164.0,95.0,31.1,2022-07-05,02:38:57,2,38,57,2022,7,5,166.0,204.6,165.94597678199605,204.5968822137992,3.4234485537247408,0.8671793355471512,0.011508550136625944,0.010357615865040368,0.9203575662453942,0.8572450116908089,8.888012889681017
996,2022-07-05T02:39:14+05:30,204.0,172.0,95.0,31.2,2022-07-05,02:39:14,2,39,14,2022,7,5,165.2,204.2,165.12079682592457,204.19921875,4.053640339250638,0.48989794855663793,0.011542365661023474,0.010445392270676304,0.9215818949856642,0.8592678586047463,8.904248767952051
997,2022-07-05T02:39:31+05:30,204.0,164.0,95.0,31.3,2022-07-05,02:39:31,2,39,31,2022,7,5,166.6,204.8,166.4768328445748,204.79340250670677,5.344904115136216,1.4028542333400158,0.011497278295160101,0.010407773811118046,0.9197434117573529,0.855726209507616,8.877348106324845
998,2022-07-05T02:39:48+05:30,204.0,161.0,95.0,31.2,2022-07-05,02:39:48,2,39,48,2022,7,5,166.0,204.0,165.8494259253849,203.98235065103603,5.437646549749262,2.1963606261267796,0.011497278295160101,0.01029491843244327,0.922284503012354,0.8574330998462776,8.898588014293159
999,2022-07-05T02:40:05+05:30,207.0,172.0,95.0,31.2,2022-07-05,02:40:05,2,40,5,2022,7,5,164.2,204.0,164.1020576242619,203.98235065103606,4.529900661162453,2.223510737549973,0.011542365661023474,0.010282378945923853,0.9222394156464906,0.8620526111524373,8.921460133994639
1000,2022-07-05T02:40:22+05:30,201.0,161.0,95.0,31.0,2022-07-05,02:40:22,2,40,22,2022,7,5,164.0,204.8,163.90082716650085,204.76985889310802,4.381780460041333,2.831254139069826,0.011542365661023474,0.010282378945923853,0.9197354594287114,0.8625736896690102,8.911545745488606
1001,2022-07-05T02:40:39+05:30,204.0,163.0,95.0,31.2,2022-07-05,02:40:39,2,40,39,2022,7,5,164.0,204.8,163.90082716650085,204.76985889310802,4.171330722922846,2.8439409276565537,0.011497278295160101,0.010244760486365596,0.9197805467945748,0.8626113081285685,8.911959274615716
1002,2022-07-05T02:40:56+05:30,208.0,163.0,95.0,31.2,2022-07-05,02:40:56,2,40,56,2022,7,5,163.4,204.0,163.348200802917,203.9746780825849,2.4899799195977446,2.5643712679719397,0.011531093819557631,0.010345076378520949,0.9222627893309394,0.8640079095917166,8.93135349461328
1003,2022-07-05T02:41:13+05:30,204.0,161.0,95.0,31.4,2022-07-05,02:41:13,2,41,13,2022,7,5,165.0,204.6,164.9324661028925,204.58530467992932,2.280350850198274,1.9204166214652478,0.011508550136625944,0.010457931757195725,0.9203758273398261,0.8597596447325544,8.900677360361902
1004,2022-07-05T02:41:30+05:30,203.0,169.0,95.0,31.2,2022-07-05,02:41:30,2,41,30,2022,7,5,166.8,204.2,166.69765873766661,204.17982814769195,2.6076809620810577,2.216303228351208,0.011497278295160101,0.010470471243715142,0.9216575668977549,0.8551169849411334,8.883872759194443
1005,2022-07-05T02:41:47+05:30,204.0,169.0,95.0,31.2,2022-07-05,02:41:47,2,41,47,2022,7,5,167.0,204.0,166.90581981347538,203.98635964222825,3.3166247903553967,1.4505171491574964,0.011531093819557631,0.010595866108909335,0.9222443641580004,0.8544615107567071,8.883529374573538
1006,2022-07-05T02:42:05+05:30,202.0,172.0,95.0,31.2,2022-07-05,02:42:05,2,42,5,2022,7,5,169.0,204.6,168.9543810337372,204.57930348103528,3.2692506786724076,1.594992162990147,0.011587453026886846,0.010570787135870497,0.9203063900629629,0.8492287180151201,8.847675540390416
1007,2022-07-05T02:42:22+05:30,207.0,164.0,95.0,31.1,2022-07-05,02:42:22,2,42,22,2022,7,5,168.6,205.6,168.55077557775456,205.57533557093635,3.179937106296288,1.6272676485446385,0.011576181185421005,0.010483010730234561,0.9171693463052156,0.8503601378700841,8.837647420876499
1008,2022-07-05T02:42:39+05:30,207.0,171.0,95.0,31.4,2022-07-05,02:42:39,2,42,39,2022,7,5,167.2,205.4,167.11044997578244,205.3714366913145,3.450217384455652,2.2271057451320098,0.011643812234216063,0.010382694838079206,0.9177387797353194,0.8541491883102553,8.859439840227875
1009,2022-07-05T02:42:56+05:30,208.0,167.0,95.0,31.3,2022-07-05,02:42:56,2,42,56,2022,7,5,165.6,206.6,165.54132432644724,206.58315449122176,3.2236625133534056,2.275082416089585,0.01163254039275022,0.010382694838079206,0.9139460802835562,0.8582649359067945,8.861055080951754
1010,2022-07-05T02:43:13+05:30,203.0,162.0,95.0,31.3,2022-07-05,02:43:13,2,43,13,2022,7,5,165.6,206.4,165.5413243264473,206.38318596446183,2.559687480924187,2.3013039781828075,0.01156490934395516,0.010357615865040368,0.9146445765165151,0.8582900148798334,8.864672956981742
1011,2022-07-05T02:43:30+05:30,208.0,164.0,95.0,31.1,2022-07-05,02:43:30,2,43,30,2022,7,5,165.2,205.2,165.16288517296638,205.16198804875617,2.1522081683703327,2.565930630395144,0.011519821978091788,0.010370155351559789,0.918508588039643,0.8592884353328994,8.888985116862711
1012,2022-07-05T02:43:47+05:30,206.0,164.0,95.0,31.3,2022-07-05,02:43:47,2,43,47,2022,7,5,165.4,204.4,165.35757389544838,204.3714666235501,2.0668817092422054,2.5027984337537084,0.011497278295160101,0.010457931757195725,0.9210398405951394,0.8586880761707935,8.898639583829663
1013,2022-07-05T02:44:04+05:30,201.0,169.0,95.0,31.0,2022-07-05,02:44:04,2,44,4,2022,7,5,166.8,204.0,166.76771439213778,203.96282821618567,1.3236313686219388,2.259203399430873,0.011463462770762572,0.010558247649351078,0.9223491110207426,0.8549382271660544,8.886436690933985
1014,2022-07-05T02:44:21+05:30,204.0,168.0,95.0,31.1,2022-07-05,02:44:21,2,44,21,2022,7,5,168.4,203.4,168.36028729666805,203.37912584693788,1.4532721699667963,1.8889150324988153,0.011463462770762572,0.010633484568467593,0.9242161494580421,0.8507167916696259,8.87466470563834
1015,2022-07-05T02:44:38+05:30,201.0,169.0,95.0,31.3,2022-07-05,02:44:38,2,44,38,2022,7,5,169.6,203.4,169.58921508609322,203.37912584693785,1.3236313686219432,1.8286607121059935,0.011531093819557631,0.010671103028025852,0.924148518409247,0.8475247215354894,8.858366199723681
1016,2022-07-05T02:44:55+05:30,205.0,172.0,95.0,31.2,2022-07-05,02:44:55,2,44,55,2022,7,5,170.2,204.6,170.1849533410106,204.5791294380153,0.9919677414109839,1.320605921537534,0.011542365661023474,0.010683642514545271,0.9203517519446307,0.8459592752244021,8.831555135845164
1017,2022-07-05T02:45:12+05:30,206.0,170.0,95.0,31.1,2022-07-05,02:45:12,2,45,12,2022,7,5,170.4,204.8,170.3892199051087,204.7794814611817,1.1593101396951597,1.4778362561528924,0.011609996709818533,0.010721260974103529,0.9196526508277498,0.8453966352530281,8.82524643040389
1018,2022-07-05T02:45:30+05:30,207.0,172.0,95.0,31.0,2022-07-05,02:45:30,2,45,30,2022,7,5,171.0,206.0,170.9906019460477,205.99611648655144,1.2132600710482533,1.0198039027185526,0.011643812234216063,0.010683642514545271,0.9158071081339993,0.8438740172957824,8.79840562714891
1019,2022-07-05T02:45:47+05:30,205.0,169.0,95.0,31.2,2022-07-05,02:45:47,2,45,47,2022,7,5,170.4,206.6,170.3892199051087,206.59495925332277,1.2743625857659209,1.344618905117725,0.011655084075681908,0.010721260974103529,0.9139049171020425,0.8453966352530281,8.796507761775352
1020,2022-07-05T02:46:04+05:30,207.0,172.0,95.0,31.2,2022-07-05,02:46:04,2,46,4,2022,7,5,171.0,206.8,170.98358426156378,206.79533857205112,1.371130920080208,1.4254823744964342,0.011609996709818533,0.010721260974103529,0.9133184913468831,0.8438455127121772,8.785820020295303
1021,2022-07-05T02:46:21+05:30,208.0,169.0,95.0,31.0,2022-07-05,02:46:21,2,46,21,2022,7,5,171.0,206.0,170.98358426156378,205.9843800586453,1.3446189051177293,1.5748015748023623,0.011576181185421005,0.010771418920181207,0.9158932508987346,0.8437953547660996,8.79844302832417
1022,2022-07-05T02:46:38+05:30,207.0,173.0,95.0,31.1,2022-07-05,02:46:38,2,46,38,2022,7,5,171.8,205.4,171.78730032931145,205.37143669131447,1.305373509766455,1.617405329532462,0.011542365661023474,0.010733800460622948,0.917840226308512,0.8417502250857257,8.79795225697119
